Code,Region,Name,Type 1 Departments 0 Major A&E,Type 2 Departments 0 Single Specialty,Type 3 Departments 0 Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments 0 Major A&E,Type 2 Departments 0 Single Specialty,Type 3 Departments 0 Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments 0 Major A&E,Type 2 Departments 0 Single Specialty,Type 3 Departments 0 Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
RR7,NHS England North East And Yorkshire ,Gateshead Health NHS Foundation Trust,5920,0,3948,9868,3261,0,3898,7159,2659,0,50,2709,72.5,55.1,0.0,98.7,1593,0,0,1593,39,1632,796,0
NNFA7,NHS England North East And Yorkshire ,Goole & District Hospital,0,0,1675,1675,0,0,1668,1668,0,0,7,7,99.6,0.0,0.0,99.6,0,0,0,0,0,0,0,0
RCD,NHS England North East And Yorkshire ,Harrogate And District NHS Foundation Trust,5220,0,1001,6221,4076,0,1000,5076,1144,0,1,1145,81.6,78.1,0.0,99.9,1095,0,0,1095,264,1359,187,2
RWA,NHS England North East And Yorkshire ,Hull University Teaching Hospitals NHS Trust,9122,0,4645,13767,3857,0,3900,7757,5265,0,745,6010,56.3,42.3,0.0,84.0,3636,0,0,3636,2226,5862,1543,506
RV9,NHS England North East And Yorkshire ,Humber Teaching NHS Foundation Trust,0,0,1185,1185,0,0,1185,1185,0,0,0,0,100.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
RR8,NHS England North East And Yorkshire ,Leeds Teaching Hospitals NHS Trust,17177,676,12355,30208,10184,676,12121,22981,6993,0,234,7227,76.1,59.3,100.0,98.1,3678,0,0,3678,1131,4809,2015,275
ARN03,NHS England North East And Yorkshire ,Local Care Direct,0,0,2413,2413,0,0,2404,2404,0,0,9,9,99.6,0.0,0.0,99.6,0,0,0,0,0,0,0,0
RXF,NHS England North East And Yorkshire ,Mid Yorkshire Teaching NHS Trust,16704,115,5838,22657,10484,115,5498,16097,6220,0,340,6560,71.0,62.8,100.0,94.2,3518,0,176,3694,773,4467,2381,311
RNN,NHS England North East And Yorkshire ,North Cumbria Integrated Care NHS Foundation Trust,9128,0,2269,11397,5062,0,2237,7299,4066,0,32,4098,64.0,55.5,0.0,98.6,2279,0,0,2279,722,3001,1052,496
RVW,NHS England North East And Yorkshire ,North Tees And Hartlepool NHS Foundation Trust,5058,0,11581,16639,2324,0,11534,13858,2734,0,47,2781,83.3,45.9,0.0,99.6,1796,0,542,2338,2270,4608,206,10
RJL,NHS England North East And Yorkshire ,Northern Lincolnshire And Goole NHS Foundation Trust,9087,0,7464,16551,4140,0,7379,11519,4947,0,85,5032,69.6,45.6,0.0,98.9,4810,0,0,4810,380,5190,1454,800
RTF,NHS England North East And Yorkshire ,Northumbria Healthcare NHS Foundation Trust,9960,0,13376,23336,7403,0,13367,20770,2557,0,9,2566,89.0,74.3,0.0,99.9,3988,0,16,4004,438,4442,61,0
RCU,NHS England North East And Yorkshire ,Sheffield Children's NHS Foundation Trust,4456,0,371,4827,4134,0,371,4505,322,0,0,322,93.3,92.8,0.0,100.0,982,0,0,982,91,1073,7,0
RHQ,NHS England North East And Yorkshire ,Sheffield Teaching Hospitals NHS Foundation Trust,9237,1094,8335,18666,4353,1092,8030,13475,4884,2,305,5191,72.2,47.1,99.8,96.3,3480,0,0,3480,3050,6530,1161,4
RTR,NHS England North East And Yorkshire ,South Tees Hospitals NHS Foundation Trust,7386,0,11235,18621,3736,0,10606,14342,3650,0,629,4279,77.0,50.6,0.0,94.4,2656,0,124,2780,2332,5112,331,13
R0B,NHS England North East And Yorkshire ,South Tyneside And Sunderland NHS Foundation Trust,11853,1210,7751,20814,6111,1194,7531,14836,5742,16,220,5978,71.3,51.6,98.7,97.2,4246,14,0,4260,1543,5803,829,15
RXG,NHS England North East And Yorkshire ,South West Yorkshire Partnership NHS Foundation Trust,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,121,121,0,0
RTD,NHS England North East And Yorkshire ,The Newcastle Upon Tyne Hospitals NHS Foundation Trust,11926,1645,7403,20974,7175,1453,7403,16031,4751,192,0,4943,76.4,60.2,88.3,100.0,3648,24,0,3672,2898,6570,823,85
RFR,NHS England North East And Yorkshire ,The Rotherham NHS Foundation Trust,8977,0,0,8977,6171,0,0,6171,2806,0,0,2806,68.7,68.7,0.0,0.0,1979,0,0,1979,161,2140,528,3
AJN,NHS England North East And Yorkshire ,Workington Health Limited,0,0,361,361,0,0,361,361,0,0,0,0,100.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
RCB,NHS England North East And Yorkshire ,York And Scarborough Teaching Hospitals NHS Foundation Trust,10390,362,6987,17739,4344,362,6603,11309,6046,0,384,6430,63.8,41.8,100.0,94.5,4621,0,0,4621,1457,6078,1480,628
RBS,NHS England North West ,Alder Hey Children's NHS Foundation Trust,5674,0,0,5674,4870,0,0,4870,804,0,0,804,85.8,85.8,0.0,0.0,812,0,0,812,288,1100,1,0
RXL,NHS England North West ,Blackpool Teaching Hospitals NHS Foundation Trust,9169,0,10847,20016,4805,0,10794,15599,4364,0,53,4417,77.9,52.4,0.0,99.5,2721,0,0,2721,1695,4416,1012,539
RMC,NHS England North West ,Bolton NHS Foundation Trust,7970,0,3954,11924,4166,0,3743,7909,3804,0,211,4015,66.3,52.3,0.0,94.7,2448,0,105,2553,921,3474,1039,488
RY2,NHS England North West ,Bridgewater Community Healthcare NHS Foundation Trust,0,0,3212,3212,0,0,3030,3030,0,0,182,182,94.3,0.0,0.0,94.3,0,0,0,0,0,0,0,0
RJR,NHS England North West ,Countess Of Chester Hospital NHS Foundation Trust,5079,0,2376,7455,2367,0,2114,4481,2712,0,262,2974,60.1,46.6,0.0,89.0,1605,0,0,1605,1187,2792,943,709
