Code,Region,Name,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
RWE,NHS England Midlands ,University Hospitals Of Leicester NHS Trust,"23,461","2,096",0,"25,557","14,971","2,004",0,"16,975","8,490",92,0,"8,582",66.40%,63.80%,95.60%,-,"7,237",7,0,"7,244","3,922","11,166","1,917",592
RJE,NHS England Midlands ,University Hospitals Of North Midlands NHS Trust,"15,949",509,"9,210","25,668","7,467",509,"9,080","17,056","8,482",0,130,"8,612",66.40%,46.80%,100.00%,98.60%,"4,933",0,0,"4,933","1,081","6,014","2,028",820
RBK,NHS England Midlands ,Walsall Healthcare NHS Trust,"9,831",0,"4,614","14,445","7,999",0,"4,523","12,522","1,832",0,91,"1,923",86.70%,81.40%,-,98.00%,"4,661",0,0,"4,661",910,"5,571",826,106
RWP,NHS England Midlands ,Worcestershire Acute Hospitals NHS Trust,"14,334",0,"6,163","20,497","8,529",0,"6,116","14,645","5,805",0,47,"5,852",71.40%,59.50%,-,99.20%,"3,232",0,0,"3,232",916,"4,148","1,676",835
RLQ,NHS England Midlands ,Wye Valley NHS Trust,"6,233","1,032",160,"7,425","3,536","1,032",160,"4,728","2,697",0,0,"2,697",63.70%,56.70%,100.00%,100.00%,"1,415",0,0,"1,415",152,"1,567",731,234
RCF,NHS England North East And Yorkshire ,Airedale NHS Foundation Trust,"6,283",243,0,"6,526","4,223",243,0,"4,466","2,060",0,0,"2,060",68.40%,67.20%,100.00%,-,"1,428",0,0,"1,428",549,"1,977",841,428
RFF,NHS England North East And Yorkshire ,Barnsley Hospital NHS Foundation Trust,"9,461",0,0,"9,461","7,618",0,0,"7,618","1,843",0,0,"1,843",80.50%,80.50%,-,-,"3,372",0,0,"3,372",552,"3,924",283,0
RAE,NHS England North East And Yorkshire ,Bradford Teaching Hospitals NHS Foundation Trust,"9,453","1,075","3,238","13,766","7,105","1,075","3,237","11,417","2,348",0,1,"2,349",82.90%,75.20%,100.00%,100.00%,"2,609",0,18,"2,627","1,380","4,007",728,85
NNF09,NHS England North East And Yorkshire ,Bransholme Health Centre,0,0,"3,817","3,817",0,0,"3,518","3,518",0,0,299,299,92.20%,-,-,92.20%,0,0,0,0,0,0,0,0
NNF16,NHS England North East And Yorkshire ,Bridlington Hospital,0,0,"1,610","1,610",0,0,"1,584","1,584",0,0,26,26,98.40%,-,-,98.40%,0,0,0,0,0,0,0,0
