Code,Region,Name,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
RTG,NHS England Midlands ,University Hospitals Of Derby And Burton NHS Foundation Trust,"23,990",0,"9,975","33,965","14,780",0,"9,975","24,755","9,210",0,0,"9,210",72.90%,61.60%,-,100.00%,"4,024",0,1,"4,025","2,087","6,112","1,705",716
RWE,NHS England Midlands ,University Hospitals Of Leicester NHS Trust,"21,007","2,090",0,"23,097","12,999","1,939",0,"14,938","8,008",151,0,"8,159",64.70%,61.90%,92.80%,-,"6,637",7,0,"6,644","3,571","10,215","1,871",629
RJE,NHS England Midlands ,University Hospitals Of North Midlands NHS Trust,"15,748",529,"9,040","25,317","8,458",529,"8,952","17,939","7,290",0,88,"7,378",70.90%,53.70%,100.00%,99.00%,"5,230",0,0,"5,230","1,919","7,149","1,553",371
RBK,NHS England Midlands ,Walsall Healthcare NHS Trust,"9,865",0,"4,387","14,252","6,662",0,"4,316","10,978","3,203",0,71,"3,274",77.00%,67.50%,-,98.40%,"4,027",0,0,"4,027",747,"4,774","1,183",101
RWP,NHS England Midlands ,Worcestershire Acute Hospitals NHS Trust,"14,228",0,"6,778","21,006","7,225",0,"6,733","13,958","7,003",0,45,"7,048",66.40%,50.80%,-,99.30%,"2,808",0,0,"2,808","1,017","3,825","1,965",896
RLQ,NHS England Midlands ,Wye Valley NHS Trust,"6,307","1,161",197,"7,665","4,069","1,161",197,"5,427","2,238",0,0,"2,238",70.80%,64.50%,100.00%,100.00%,"1,496",0,0,"1,496",162,"1,658",587,182
RCF,NHS England North East And Yorkshire ,Airedale NHS Foundation Trust,"6,949",196,0,"7,145","5,006",196,0,"5,202","1,943",0,0,"1,943",72.80%,72.00%,100.00%,-,"1,626",0,0,"1,626",452,"2,078",340,70
RFF,NHS England North East And Yorkshire ,Barnsley Hospital NHS Foundation Trust,"9,349",0,0,"9,349","6,756",0,0,"6,756","2,593",0,0,"2,593",72.30%,72.30%,-,-,"3,087",0,0,"3,087",516,"3,603",401,0
RAE,NHS England North East And Yorkshire ,Bradford Teaching Hospitals NHS Foundation Trust,"9,650","1,134","3,496","14,280","7,352","1,134","3,496","11,982","2,298",0,0,"2,298",83.90%,76.20%,100.00%,100.00%,"2,686",0,9,"2,695","1,309","4,004",730,51
NNF09,NHS England North East And Yorkshire ,Bransholme Health Centre,0,0,"3,787","3,787",0,0,"3,399","3,399",0,0,388,388,89.80%,-,-,89.80%,0,0,0,0,0,0,0,0
