Code,Region,Name,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
NNJ13,NHS England Midlands ,Melton Mowbray,0,0,486,486,0,0,483,483,0,0,3,3,99.40%,-,-,99.40%,0,0,0,0,0,0,0,0
RNS,NHS England Midlands ,Northampton General Hospital NHS Trust,"10,676",627,"2,109","13,412","6,343",612,"2,027","8,982","4,333",15,82,"4,430",67.00%,59.40%,97.60%,96.10%,"2,445",0,0,"2,445",494,"2,939","1,330",923
RX1,NHS England Midlands ,Nottingham University Hospitals NHS Trust,"12,595","1,893","9,371","23,859","4,879","1,709","7,760","14,348","7,716",184,"1,611","9,511",60.10%,38.70%,90.30%,82.80%,"3,752",0,"1,244","4,996","4,473","9,469","1,191","1,027"
NNJ14,NHS England Midlands ,Oadby,0,0,"3,128","3,128",0,0,"3,119","3,119",0,0,9,9,99.70%,-,-,99.70%,0,0,0,0,0,0,0,0
NNJ15,NHS England Midlands ,Oakham,0,0,506,506,0,0,505,505,0,0,1,1,99.80%,-,-,99.80%,0,0,0,0,0,0,0,0
RXK,NHS England Midlands ,Sandwell And West Birmingham Hospitals NHS Trust,"11,920","1,136","7,907","20,963","6,067",946,"7,840","14,853","5,853",190,67,"6,110",70.90%,50.90%,83.30%,99.20%,"2,576",0,0,"2,576",506,"3,082","1,368",645
RK5,NHS England Midlands ,Sherwood Forest Hospitals NHS Foundation Trust,"11,441",0,"5,342","16,783","6,810",0,"4,860","11,670","4,631",0,482,"5,113",69.50%,59.50%,-,91.00%,"3,892",0,0,"3,892",322,"4,214","1,526",689
R1D,NHS England Midlands ,Shropshire Community Health NHS Trust,0,0,"2,888","2,888",0,0,"2,883","2,883",0,0,5,5,99.80%,-,-,99.80%,0,0,0,0,0,0,0,0
C83023,NHS England Midlands ,Sleaford Medical Group,0,0,561,561,0,0,561,561,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,3,3,0,0
Y02615,NHS England Midlands ,South Birmingham GP Walk In Centre,0,0,"3,507","3,507",0,0,"3,507","3,507",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RJC,NHS England Midlands ,South Warwickshire University NHS Foundation Trust,"8,243",0,386,"8,629","5,515",0,386,"5,901","2,728",0,0,"2,728",68.40%,66.90%,-,100.00%,"1,805",0,0,"1,805",649,"2,454",793,235
NQTE4,NHS England Midlands ,Summerfield Urgent Care Centre,0,0,"2,840","2,840",0,0,"2,840","2,840",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RNA,NHS England Midlands ,The Dudley Group NHS Foundation Trust,"9,849",0,"4,500","14,349","6,099",0,"4,438","10,537","3,750",0,62,"3,812",73.40%,61.90%,-,98.60%,"3,516",0,0,"3,516","2,634","6,150","2,687",117
RL1,NHS England Midlands ,The Robert Jones And Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,0,0,0,0,37,37,0,0
RL4,NHS England Midlands ,The Royal Wolverhampton NHS Trust,"11,306","1,373","7,187","19,866","7,059","1,336","6,923","15,318","4,247",37,264,"4,548",77.10%,62.40%,97.30%,96.30%,"2,730",0,34,"2,764","4,360","7,124","1,556",718
RXW,NHS England Midlands ,The Shrewsbury And Telford Hospital NHS Trust,"10,549",0,"2,471","13,020","4,557",0,"2,122","6,679","5,992",0,349,"6,341",51.30%,43.20%,-,85.90%,"3,478",0,181,"3,659","2,227","5,886","2,071","1,601"
RWD,NHS England Midlands ,United Lincolnshire Teaching Hospitals NHS Trust,"17,164",0,"4,565","21,729","9,421",0,"4,208","13,629","7,743",0,357,"8,100",62.70%,54.90%,-,92.20%,"5,098",0,0,"5,098","1,276","6,374","2,250","1,595"
RRK,NHS England Midlands ,University Hospitals Birmingham NHS Foundation Trust,"33,649",343,"3,402","37,394","19,135",343,"3,367","22,845","14,514",0,35,"14,549",61.10%,56.90%,100.00%,99.00%,"10,758",0,0,"10,758","7,742","18,500","4,593","2,076"
RKB,NHS England Midlands ,University Hospitals Coventry And Warwickshire NHS Trust,"12,635","2,554","5,726","20,915","7,158","2,416","5,638","15,212","5,477",138,88,"5,703",72.70%,56.70%,94.60%,98.50%,991,32,42,"1,065",332,"1,397",54,8
