Code,Region,Name,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
RP5,NHS England North East And Yorkshire ,Doncaster And Bassetlaw Teaching Hospitals NHS Foundation Trust,"13,650",0,"3,999","17,649","8,495",0,"3,994","12,489","5,155",0,5,"5,160",70.80%,62.20%,-,99.90%,"3,854",0,407,"4,261","1,075","5,336","1,376",197
NNF94,NHS England North East And Yorkshire ,East Riding Community Hospital,0,0,"2,511","2,511",0,0,"2,428","2,428",0,0,83,83,96.70%,-,-,96.70%,0,0,0,0,0,0,0,0
RR7,NHS England North East And Yorkshire ,Gateshead Health NHS Foundation Trust,"6,116",0,"4,336","10,452","3,801",0,"4,311","8,112","2,315",0,25,"2,340",77.60%,62.10%,-,99.40%,"1,734",0,0,"1,734",51,"1,785",583,6
NNFA7,NHS England North East And Yorkshire ,Goole & District Hospital,0,0,"1,567","1,567",0,0,"1,526","1,526",0,0,41,41,97.40%,-,-,97.40%,0,0,0,0,0,0,0,0
RCD,NHS England North East And Yorkshire ,Harrogate And District NHS Foundation Trust,"5,720",0,"1,464","7,184","3,700",0,"1,464","5,164","2,020",0,0,"2,020",71.90%,64.70%,-,100.00%,"1,221",0,0,"1,221",309,"1,530",149,4
RWA,NHS England North East And Yorkshire ,Hull University Teaching Hospitals NHS Trust,"9,961",0,"4,693","14,654","4,239",0,"4,141","8,380","5,722",0,552,"6,274",57.20%,42.60%,-,88.20%,"3,801",0,0,"3,801","2,087","5,888","1,470",534
RV9,NHS England North East And Yorkshire ,Humber Teaching NHS Foundation Trust,0,0,"1,005","1,005",0,0,"1,005","1,005",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RR8,NHS England North East And Yorkshire ,Leeds Teaching Hospitals NHS Trust,"18,681",733,"12,127","31,541","11,168",733,"11,486","23,387","7,513",0,641,"8,154",74.10%,59.80%,100.00%,94.70%,"3,617",0,0,"3,617","1,189","4,806","1,978",707
ARN03,NHS England North East And Yorkshire ,Local Care Direct,0,0,"2,744","2,744",0,0,"2,735","2,735",0,0,9,9,99.70%,-,-,99.70%,0,0,0,0,0,0,0,0
RXF,NHS England North East And Yorkshire ,Mid Yorkshire Teaching NHS Trust,"16,866",140,"6,359","23,365","10,420",140,"5,989","16,549","6,446",0,370,"6,816",70.80%,61.80%,100.00%,94.20%,"3,560",0,179,"3,739",902,"4,641","2,444",332
